
Mon May 27 2024 14:29:03 GMT-0700 (Pacific Daylight Time)
===================================================================================
#show processes memory
Processor Pool Total: 1333163004 Used:  327827576 Free: 1005335428
reserve P Pool Total:     102404 Used:         88 Free:     102316
 lsmpi_io Pool Total:    6295128 Used:    6294296 Free:        832
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 390   0          0          0      29960          0          0 GLBP HA         
 391   0          0          0      29960          0          0 HSRP HA         
 392   0          0          0      30056          0          0 VRRP HA         
 393   0     140928        328     170320          0          0 L2FIB Event Disp
 394   0       4312          0      34272          0          0 EVPN main thread
 395   0       3704          0      33760          0          0 NVE MGR RWATCH T
 396   0       1824          0     247784          0          0 COPS            
 397   0        304          0      30264          0          0 PIM Snooping Pro
 398   0          0          0      30048          0          0 NGWC-PIMSN Proce
 399   0       3648          0      33608          0          0 AC Mgr          
 400   0       5584       1760      35544          0          0 VPWS Thread     
 401   0       4184        488      34144          0          0 EVPN VPWS Thread
 402   0          0          0      29960          0          0 ac_atm_state_eve
 403   0          0          0      29960          0          0 ac_atm_mraps_hsp
 404   0     388256        456     327880          0          0 LSD Main Proc   
 405   0          0          0      29960          0          0 MFI Comm RP Proc
 406   0          0          0      54096          0          0 Path set broker 
 407   0          0          0      53960          0          0 LFD Label Block 
 408   0      15624          0      45664          0          0 LDP HA          
 409   0        448        448      29960          0          0 MPLS VPN HA Clie
 410   0        448        448      29960          0          0 TSPTUN HA       
 411   0          0          0      53960          0          0 RSVP HA Services
 412   0        448        448      29960          0          0 TE NSR OOS DB Pr
 413   0     100848        448     154360          0          0 OAM DPM         
 414   0        896        448      54408          0          0 OAM DPM BG TASK 
 415   0      11544        616      41000          0          0 LFDp Input Proc 
 416   0          0          0      29960          0          0 AC HA Bulk Sync 
 417   0        456          0      54416          0          0 FRR Manager     
 418   0      17128        448     118640          0          0 SR Policy Mgr   
 419   0        448        448      29960          0          0 SRv6FIB pak hndl
 420   0       3832          0      33792          0          0 SRv6FIB DM Threa
 421   0          0          0      29960          0          0 VFI HA Bulk Sync
 422   0          0          0      29960          0          0 EVPN HA Bulk Syn
 423   0          0          0      29960          0          0 XC RIB MGR      
 424   0          0          0      29960          0          0 XC RIB HA Bulk S
 425   0          0          0      29960          0          0 AToM HA Bulk Syn
 426   0          0          0      29960          0          0 AToM MGR HA IPC 
 427   0          0          0      53960          0          0 RSVP SYNC       
 428   0          0          0      29960          0          0 XC BGP SIG RIB H
 429   0          0          0      29960          0          0 PTP HA Process  
 430   0          0          0      29960          0          0 Consent token pr
 431   0          0          0      41960          0          0 DynCmd Package P
 432   0        448        448      29960          0          0 AAA Cached Serve
 433   0        448        448      29960          0          0 ENABLE AAA      
 434   0          0          0      29960          0          0 EM Background Pr
 435   0          0          0      29960          0          0 Key chain liveke
 436   0        448        448      29960          0          0 LINE AAA        
 437   0    6582272    6576800      59240          0          0 LOCAL AAA       
 438   0          0          0      53960          0          0 Opaque Database 
 439   3  166786224  134972576    3966360        358        358 SEP_webui_wsma_h
 440   0      66176        160     126016          0          0 PDM core        
 441   2     924992     114648     859040         28         28 SSH Process     
 442   0       2488        448      56000          0          0 LDAP process    
 443   0     462952       1008     499904          0          0 EST Client      
 444   0      99192        448     128704          0          0 Timer Library   
 445   0        448        448      29960          0          0 Crypto Support  
 446   0          0          0      29960          0          0 IPSECv6 PS Proc 
 447   0       2464        448      55976          0          0 TPLUS           
 448   0          0          0      29960          0          0 IDMGR CORE      
 449   0      16680          0      34640          0          0 EEM MLANG MANAGE
 450   0          0          0      54024          0          0 FQDN Mgr Main   
 451   0          0          0      53960          0          0 FQDN Mgr Packet 
 452   0          0          0      53960          0          0 MPLS Auto Mesh P
 453   0      68064          0     122024          0          0 mDNS snooping   
 454   0     102752          0     132712          0          0 MMA DB TIMER    
 455   0    4959472    4958144      31288       1440       1440 NIST rng proc   
 456   0          0          0      29960          0          0 iosp_eem_global_
 457   0        448        448      29960          0          0 REP Switch Helpe
 458   0        448        448      41960          0          0 MVRP SWITCH Proc
 459   0    1550544    1545824      34528          0          0 crypto engine pr
 460   0       8016          0      62088          0          0 AAA Proxy       
 461   0       3424          0      33384          0          0 NGINX/AAA IPC pr
 462   0       2664       5608     103672          0          0 TPS IPC Process 
 463   0          0          0      29960          0          0 COND_DEBUG HA IP
 464   0       3424          0      57384          0          0 pki_app         
 465   0          0          0     101960          0          0 EWLC/AAA IPC pro
 466   0          0          0     101960          0          0 EWLC/AAA IPC pro
 467   0        448        448      29960          0          0 File Copy Handle
 468   0          0          0      53960          0          0 encrypt proc    
 469   0          0          0      53960          0          0 RSA background p
 470   0    3649144    2351096    1168504         17         17 Crypto CA       
 471   0        448        448      53960          0          0 Crypto PKI-CRL  
 472   0          0          0      53960          0          0 Crypto PKI-Rev-P
 473   0      10632          0      64592          0          0 PKI OCSP        
 474   0          0          0      53960          0          0 PKI Revocation  
 475   0     366032       2600     417392    3237383    3237383 Crypto IKEv2    
 476   0          0          0      29960          0          0 IKEv2 AAA handle
 477   0        448       1096      29960          0          0 CRYPTO MAP FREE 
 478   0          0          0      53960          0          0 Crypto INT      
 479   0        448        712      53960          4          4 Crypto IKE Dispa
 480   0      41248        448      94760          1          1 Crypto IKMP     
 481   0          0          0      41960          0          0 IPSEC manual key
 482   0       9488       6128      56672         13         13 IPSEC key engine
 483   0          0          0     101960          0          0 Crypto ACL      
 484   0          0          0      29960          0          0 Crypto PAS Proc 
 485   0          0          0      53960          0          0 IPSec background
 486   0        896        448      30408          0          0 PIM HA          
 487   0      19136        448      48648          0          0 Lawful Intercept
